,Episode,Description,Duration,Year,Series
233,Men Of Honor,Spartacus considers striking a deal with a band of marauders to ensure his people stay supplied and fed. Crassus's son Tiberius makes a bold and fateful decision. Extended version!,57 MINS,2013,Spartacus
234,Decimation,The possible infiltration of a Roman spy causes tension between Spartacus and his men. Crassus resurrects a long abandoned form of Roman punishment to teach his soldiers a brutal lesson. Ext...,56 MINS,2013,Spartacus
235,Blood Brothers,Spartacus puts a plan in motion to weaken Crassus's forces and gain the upper hand. Betrayal threatens to foil the plan. Extended version!,53 MINS,2013,Spartacus
236,Spoils Of War,"As Crassus leads an onslaught against the rebel-occupied city, Gannicus is trapped behind enemy lines. Tiberius is tasked by Crassus to hold a celebration in honor of a man he despises. Exte...",56 MINS,2013,Spartacus
237,Mors Indecepta,"Their forces trapped on an impassable ridge, Spartacus and Crixus clash over the method of escape. Crassus has increasing difficulty controlling the actions of those closest to him. Extended version!",54 MINS,2013,Spartacus
238,Separate Paths,"Spartacus and the rebels arrive at a crossroads. With the relentless Crassus driving his men hard in the pursuit of Spartacus, the conflict between Tiberius and Caesar escalates. Extended version!",54 MINS,2013,Spartacus
239,The Dead And The Dying,Crassus learns that a fellow prominent Roman is attempting to steal the glory of defeating Spartacus. Spartacus aims to secure a bargaining chip he can use against the Romans. Extended version!,59 MINS,2013,Spartacus
240,Victory,Spartacus and his outnumbered rebels make one last attempt to win freedom in an epic final battle against the Romans. Extended version!,59 MINS,2013,Spartacus
241,Ep 101 - Sassenach,"While on her honeymoon, WWII combat nurse Claire Randall is mysteriously transported back to 1743 Scotland, where she is kidnapped by a group of Highlanders - and meets an injured young man ...",66 MINS,2014,Outlander
242,Ep 102 - Castle Leoch,"Claire is taken to meet the Laird. As suspicions about her grow, Claire befriends the mysterious Geillis Duncan. When the clan discover her medical skills, Claire goes from guest to prisoner.",62 MINS,2014,Outlander
243,Ep 103 - The Way Out,"Claire decides to use her medical skills to aid her escape from Castle Leoch - with Jamie's help, she tends to an ill child. During an evening's entertainment, a story gives Claire hope for ...",58 MINS,2014,Outlander
244,Ep 104 - The Gathering,"As the Castle prepares for The Gathering, Claire plots her escape. But after a dangerous encounter with a drunken Dougal and an unexpected run-in with Jamie, her plans are dashed.",59 MINS,2014,Outlander
245,Ep 105 - Rent,"Claire joins the MacKenzie rent-collecting trip. To her horror, Dougal uses Jamie's scars to gain sympathy for the Jacobite cause. Claire recalls that a defining moment in Scottish history i...",59 MINS,2014,Outlander
246,Ep 106 - The Garrison Commander,Claire's unexpected meeting with a British general turns tense when Captain Jack Randall arrives. Claire finds herself alone with Randall - a dangerous man determined to uncover her secrets.,60 MINS,2014,Outlander
247,Ep 107 - The Wedding,"Claire and Jamie are thrown together in marriage, but as their emotional and physical relationship unfolds, deeper feelings arise. Claire is ultimately torn between two men in two very diffe...",57 MINS,2014,Outlander
248,Ep 108 - Both Sides Now,"Frank desperately searches for his missing wife, while Claire tries to come to terms with her new marriage. Claire is faced with an emotional quandry as a life-altering opportunity presents itself.",57 MINS,2014,Outlander
249,Ep 109 - The Reckoning,"Jamie and the Highlanders rescue Claire from Black Jack Randall. Back at the castle, politics threaten to tear Clan MacKenzie apart and Jamie's scorned lover, Laoghaire, attempts to win him back.",62 MINS,2015,Outlander
250,Ep 110 - By The Pricking Of My Thumbs,"Jamie hopes the newly arrived Duke of Sandringham will help lift the price from his head, while Claire attempts to save an abandoned child.",62 MINS,2015,Outlander
251,Ep 111 - The Devil's Mark,"Claire and Geillis are on trial for witchcraft. Jamie manages to rescue Claire, but not before she discovers a secret about Geillis's past.",62 MINS,2015,Outlander
252,Ep 112 - Lallybroch,"Reunited, Claire and Jamie make their way to Lallybroch - Jamie's family home. Reality quickly sets in, and old wounds are reopened between Jamie and his sister, Jenny.",60 MINS,2015,Outlander
253,Ep 113 - The Watch,"Jamie finds himself between a rock and a hard place when a redcoat deserter from his past resurfaces. Claire tends to a laboring Jenny while Jamie and Ian join The Watch, resulting in devast...",59 MINS,2015,Outlander
254,Ep 114 - The Search,"Claire and Jenny set out to rescue Jamie from his redcoat captors. When Murtagh joins up, they turn to unorthodox tactics to send word to Jamie. When word finally arrives, the news isn't wha...",61 MINS,2015,Outlander
255,Ep 115 - Wentworth Prison,"Jamie awaits his death sentence at Wentworth Prison, while Claire and the Highlanders search for a rescue plan. When Jamie is visited by Black Jack, he realizes there is a fate worse than death.",59 MINS,2015,Outlander
256,Ep 116 - To Ransom A Man's Soul,"A desperate plan manages to free Jamie, but his wounds are more than just physical. At a nearby monastery, Claire attempts to save both Jamie's heart and soul, as his mind lingers on the torture.",61 MINS,2015,Outlander
257,"Ep 201 - Through a Glass, Darkly","Returning to her own time, Claire must reconcile her future with the life she left behind. Shifting back to 18th century, Jamie, Claire and Murtagh arrive in France, but learn that Paris pre...",61 MINS,2016,Outlander
258,Ep 202 - Not In Scotland Anymore,"Life in Paris is not without its trials as Jamie struggles to triumph over his past. A fortunate meeting with Prince Charles presents opportunities, while the Duke of Sandringham's presence ...",61 MINS,2016,Outlander
259,Ep 203 - Useful Occupations and Deceptions,"Jamie's days and nights are dominated by political machinations, while Claire finds solace in her healing skills. As their plan to stop Culloden progresses, the past threatens to derail thei...",58 MINS,2016,Outlander
260,Ep 204 - La Dame Blanche,"Claire and Jamie throw a dinner party to derail investors in Prince Charles' war effort. Meanwhile, Claire's revelation that Jack Randall is alive sparks Jamie in an unexpected way as he and...",59 MINS,2016,Outlander
261,Ep 205 - Untimely Resurrection,"Reunited, Jamie and Claire attempt to extinguish the fires; however, Claire is set off on an unexpected change of course. Jamie and Claire's relationship is put to the ultimate test when the...",53 MINS,2016,Outlander
262,Ep 206 - Best Laid Schemes...,"Jamie and Claire use Claire's medical knowledge to devise a scheme to stop a deal which could fill the war chest. When Claire learns Jamie has gone back on his word, the couple is met with d...",54 MINS,2016,Outlander
263,Ep 207 - Faith,Claire is brought to L'Hopital Des Anges where doctors try to save her life and that of her unborn baby. King Louis asks Claire to judge two men accused of practicing the dark arts - one an ...,66 MINS,2016,Outlander
264,Ep 208 - The Fox's Lair,"Claire and Jamie call upon Jamie's grandsire, Lord Lovat, in an attempt to elicit support. However, a visiting Colum MacKenzie has other plans, and Lord Lovat's manipulations ensure that his...",61 MINS,2016,Outlander
265,Ep 209 - Je Suis Prest,"Claire and Jamie reunite with the Lallybroch and MacKenzie men as they train. Jamie's power struggle and Claire's personal battle weigh upon them, but new information comes when an Englishma...",58 MINS,2016,Outlander
266,Ep 210 - Prestonpans,"Trusting in Claire's knowledge of ""history,"" Jamie leads the Jacobite army into a critical battle with British opposition. Meanwhile, Claire attends to the dead and dying, a reminder of the ...",61 MINS,2016,Outlander
267,Ep 211 - Vengeance Is Mine,"Claire and the Highlanders are sent north after the Jacobite leaders decide to halt their march on London. A band of redcoats makes trouble for the Scots, leading to a most unexpected reunio...",57 MINS,2016,Outlander
268,Ep 212 - The Hail Mary,"As Jamie puts all of his efforts into turning the Jacobite army away from the impending slaughter, Claire attempts to comfort the sick Alex Randall. Alex reveals an outrageous plan to save t...",62 MINS,2016,Outlander
269,Ep 213 - Dragonfly In Amber,"Flashing forward, Claire revisits the past and reveals to her daughter, Brianna, the truth. Back in the 18th century, the Battle of Culloden has arrived, and Jamie must do everything he can ...",90 MINS,2016,Outlander
270,Ep 301 - The Battle Joined,"After living through the Battle of Culloden, Jamie is at the mercy of British victors, until his past provides his only hope of survival. Meanwhile, a pregnant Claire attempts to adjust to l...",57 MINS,2017,Outlander
271,Ep 302 - Surrender,"Hiding in a cave, Jamie leads a lonely life until Lallybroch is threatened by redcoats pursing the elusive Jacobite traitor. In Boston, Claire and Frank struggle to coexist in a marriage hau...",59 MINS,2017,Outlander
272,Ep 303 - All Debts Paid,"In prison, Jamie discovers that an old foe has become the warden - and has the power to make his life hell. Claire and Frank both put their best foot forward in marriage, but an uninvited gu...",62 MINS,2017,Outlander
273,Ep 304 - Of Lost Things,"While serving as a groomsman at Helwater, Jamie is pulled into the intrigue British family. In 1968, Claire, Brianna and Roger struggle to trace Jamie's whereabouts, leaving Claire to wonder...",63 MINS,2017,Outlander
274,Ep 305 - Freedom & Whisky,Brianna grapples with life-changing revelations and Claire must help her come to terms with the fact that she is her father's daughter. Roger brings news that forces Claire and Brianna to fa...,58 MINS,2017,Outlander
275,Ep 306 - A. Malcolm,"After decades apart, Jamie and Claire finally reunite and rekindle their emotional and physical bonds. But Jamie's new business dealings jeopardize the couples' hopes for a simple life together.",78 MINS,2017,Outlander
276,Ep 307 - Creme De Menthe,"Claire follows her conscience as a surgeon, even though it could put her and Jamie's lives at risk. At the same time, Jamie attempts to evade the reach of the Crown as it representative clos...",54 MINS,2017,Outlander
277,Ep 308 - First Wife,"Claire returns to Lallybroch with Jamie, where she does not receive quite the reception she was expecting. Unbeknownst to her, Jamie's made some choices in their time apart which come back t...",63 MINS,2017,Outlander
278,Ep 309 - The Doldrums,"Claire and Jamie leave Scotland, sailing to the West Indies on an urgent quest. When the superstitious crew looks for someone to blame after a string of bad luck, rescue comes from an unlikely source.",60 MINS,2017,Outlander
279,Ep 310 - Heaven And Earth,"Claire races to discover the source of an epidemic aboard a disease-stricken ship before hundreds of sailors die. And as Jamie locks horns with Captain Raines, Fergus finds himself torn betw...",60 MINS,2017,Outlander
280,Ep 311 - Uncharted,"After making a leap of faith, Claire washes up on an island where survival is her only option. Navigating treacherous waters crippled the Artemis, so Jamie devises a joyful moment for his cr...",60 MINS,2017,Outlander
281,Ep 312 - The Bakra,"The Artemis finally reaches Jamaica bringing Jamie and Claire much closer to their goal. During a ball on the island, the Frasers encounter old allies, as well as former adversaries who thre...",56 MINS,2017,Outlander
282,Ep 313 - Eye of the Storm,Claire is forced to play a game of cat and mouse with an old adversary as she searches for Young Ian. The Frasers race through the jungles of Jamaica to prevent the unthinkable.,57 MINS,2017,Outlander
283,Ep 401 - America the Beautiful,"Claire and Jamie cross paths with Stephen Bonnet, a pirate and smuggler who enlists their help. Claire illuminates Jamie on some of America's history, leading him to wonder if it's possible ...",64 MINS,2018,Outlander
284,Ep 402 - Do No Harm,"Claire and Jamie visit his Aunt Jocasta at her plantation, River Run. When tragedy strikes at the plantation, Jamie and Claire find themselves caught between what's right and the law of the land.",57 MINS,2018,Outlander
285,Ep 403 - The False Bride,"Jamie and Claire search for a place to call home. Meanwhile, in the 20th century, Brianna and Roger's romance heats up and then fizzles during a road trip that winds up highlighting their differences.",61 MINS,2018,Outlander
286,Ep 404 - Common Ground,"Having been led by providence to Fraser's Ridge, Jamie, Claire and Young Ian begin to build a home in the Blue Ridge Mountains. In the 20th Century, Roger tries to reconnect with Brianna.",60 MINS,2018,Outlander
287,Ep 405 - Savages,"Claire's medical expertise proves invaluable, but she begins to fear for her life when tragedy strikes her patients' household. Jamie and Young Ian travel to a nearby town to recruit settler...",58 MINS,2018,Outlander
288,Ep 406 - Blood of My Blood,"Jamie and Claire are surprised when Lord John Grey drops in on Fraser's Ridge with an unexpected traveling companion. When Grey takes ill, Claire must reconcile her personal feelings with he...",62 MINS,2018,Outlander
289,Ep 407 - Down the Rabbit Hole,Brianna follows in her mother's footsteps and travels through the stones back in time to 18th century Scotland where she struggles to make her way to the Colonies to find her parents.,62 MINS,2018,Outlander
290,Ep 408 - Wilmington,"Roger's diligent search for Brianna pays off when he finds her in Wilmington, but their romantic reunion comes to an abrupt halt when she discovered information that he intentionally kept from her.",57 MINS,2018,Outlander
291,Ep 409 - The Birds & The Bees,"As Brianna struggles to compartmentalize the trauma she's suffered in the wake of the tragedy that befell her in Wilmington, she refocuses on finding her parents.",62 MINS,2018,Outlander
292,Ep 410 - The Deep Heart's Core,Jamie and Claire keep secrets from one another as they try to help Brianna process her recent trauma. But the secrets they keep cause a bigger familial rift once they are revealed.,57 MINS,2019,Outlander
293,Ep 411 - If Not For Hope,"Jamie, Claire and Young Ian embark on a long uncertain journey to rescue Roger, while Brianna forges a friendship with one of Jamie's old friends as she fends off Aunt Jocasta's attempts to ...",63 MINS,2019,Outlander
294,Ep 412 - Providence,"Brianna confronts a violent figure from her past in an attempt to cope with her trauma. Roger befriends a fellow captive and endeavors to escape the Mohawk Village, while Fergus and Marsali ...",58 MINS,2019,Outlander
295,Ep 413 - Man of Worth,"Jamie, Claire and Young Ian's attempt to rescue Roger from his Mohawk captors goes awry when a ghost from Claire's past lays waste to their plan. Meanwhile, Brianna worries Claire, Jamie and...",63 MINS,2019,Outlander
296,Ep 501 - The Fiery Cross,"Following celebrations in honor of Brianna and Roger's wedding, Governor Tryon reminds Jamie of his obligation to hunt down and kill Murtagh Fitzgibbons.",66 MINS,2020,Outlander
297,Ep 502 - Between Two Fires,"As Jamie continues to hunt Murtagh with the aid of the zealous Lieutenant Hamilton Knox, he's forced to consider whether or not he's on the right side of history.",57 MINS,2020,Outlander
298,Ep 503 - Free Will,"The growing Regulator threat forces Jamie, Claire and Roger to embark on a mission to raise a militia.",63 MINS,2020,Outlander
299,Ep 504 - The Company We Keep,Roger leads Jamie's militia to the trading post of Brownsville and finds himself embroiled in a bitter feud. Jamie and Claire arrive to find that Roger's unusual strategy may have cost them ...,59 MINS,2020,Outlander
300,Ep 505 - Perpetual Adoration,Jamie and his militia arrive at Hillsborough to learn that Governor Tryon has proposed a rather unorthodox solution to deal with the threat posed by the Regulators and to resolve the growing...,61 MINS,2020,Outlander
301,Ep 506 - Better To Marry Than Burn,"At Jocasta's wedding, Jamie learns Tryon's true motivation for ending the Regulator threat.",65 MINS,2020,Outlander
302,Ep 507 - The Ballad Of Roger Mac,"The Regulator Rebellion reaches a boiling point, forcing Jamie to face his fear and confront the consequence of his divided loyalties.",61 MINS,2020,Outlander
303,Ep 508 - Famous Last Words,The Frasers must come to terms with all that has changed in the aftermath of the Battle of Alamance Creek. Brianna tries to help Roger overcome the trauma he has endured. An unexpected visit...,67 MINS,2020,Outlander
304,Ep 509 - Monsters and Heroes,"When Jamie is bitten by a venomous snake, Claire fears she may not have the resources to save him. Jamie asks Roger to complete an important task in the event of his death.",63 MINS,2020,Outlander
305,Ep 510 - Mercy Shall Follow Me,"Jamie and Roger implement their plan to eliminate the threat looming over them, but it goes awry. Brianna is forced to confront her greatest fear and fight for her and her son's lives.",64 MINS,2020,Outlander
306,Ep 511 - Journeycake,A revelation about Jemmy forces Roger and Brianna to choose between staying in the eighteenth century and returning to the safety of the future. Jamie finds that unrest in the backcountry ha...,67 MINS,2020,Outlander
307,Ep 512 - Never My Love,"Claire struggles to survive brutal treatment from her captors, as Jamie gathers a group of loyal men to help him rescue his wife. Roger and Brianna's journey takes a surprising turn.",55 MINS,2020,Outlander
308,Ep 601 - Echoes,Jamie's authority is tested when an old rival from Ardsmuir shows up to settle on the Ridge. Claire finds a new way to cope with the trauma of her assault by Lionel Brown.,81 MINS,2022,Outlander
309,Ep 602 - Allegiance,"Jamie struggles with his first request as Indian Agent. Roger presides over an unusual funeral. Marsali gives birth. However, the joy is short lived when a discovery is made.",72 MINS,2022,Outlander
310,Ep 603 - Temperance,Fergus worries about his new son's quality of life when the baby is bullied by superstitious Protestants. Claire performs surgery on Tom's hand.,63 MINS,2022,Outlander
311,Ep 604 - Hour of the Wolf,"While visiting the Cherokee, Ian encounters a man from his past who dredges up painful memories of his time with the Mohawk. Jamie meets an Indian Agent who challenges his convictions, causi...",58 MINS,2022,Outlander
312,Ep 605 - Give Me Liberty,"Claire and Jamie experience the rising tensions in the colonies first-hand when they attend a Loyalist event in Wilmington in honor of the Scottish heroine, Flora MacDonald.",60 MINS,2022,Outlander
313,Ep 606 - The World Turned Upside Down,"A dysentery epidemic spreads on the Ridge, and Claire falls deathly ill. She is almost recovered when the Christies arrive and drop a bombshell. As nefarious rumors spread like wildfire on t...",71 MINS,2022,Outlander
314,Ep 607 - Sticks and Stones,Claire struggles with her demons as a nefarious rumor begins to spread on the Ridge. Tensions rise as the residents fear there is a dangerous person in their midst.,63 MINS,2022,Outlander
315,Ep 608 - I Am Not Alone,"Richard Brown and his Committee of Safety arrive to arrest Claire for murder. However, due to the rising political tensions in the colonies, Brown's plan to find a judge for a trial does not...",63 MINS,2022,Outlander
316,Ep 701 - A Life Well Lost,"Jamie races towards Wilmington to rescue Claire from the gallows, only to discover that the American Revolution has well and truly reached North Carolina.",59 MINS,2023,Outlander
317,Ep 702 - The Happiest Place on Earth,Claire makes a startling discovery about Roger and Brianna's newborn daughter. A familiar face returns to the Ridge with explosive consequences.,60 MINS,2023,Outlander
318,Ep 703 - Death Be Not Proud,"Jamie discovers Arch Bug has been keeping a dangerous secret. In the 20th century, Roger and Brianna find a link to Jamie and Claire.",60 MINS,2023,Outlander
319,Ep 704 - A Most Uncomfortable Woman,"On the way to Scotland, Jamie is pulled back into the Revolutionary War. William is sent on a covert mission. Roger and Brianna struggle to adapt to life in the 1980s.",60 MINS,2023,Outlander
320,Ep 705 - Singapore,"At Ticonderoga, Jamie and Claire prepare for an imminent British assault. Roger compiles information about time travel while Brianna earns the respect of her coworkers.",60 MINS,2023,Outlander
321,Ep 706 - Where the Waters Meet,Jamie and Claire help civilians flee Ticonderoga after the fort falls into British hands. Roger discovers the identity of the mysterious 'Nuckelavee'.,52 MINS,2023,Outlander
322,Ep 707 - A Practical Guide for Time-Travelers,Jamie prepares to face British forces in battle. Roger and Brianna question Buck MacKenzie's intentions in the 20th century. William fights in the First Battle of Saratoga.,55 MINS,2023,Outlander
323,Ep 708 - Turning Points,Jamie fights in the pivotal Second Battle of Saratoga. Roger and Brianna search for Jemmy.,58 MINS,2023,Outlander
324,The New World,"Catherine of Aragon arrives in England to wed Prince Arthur, heir to the English throne, in a marriage contract intended to forge an alliance between the two nations.",55 MINS,2019,The Spanish Princess
325,Fever Dream,Catherine is one step closer to the English throne with her marriage to Arthur but must navigate the challenges of a new relationship and a new court.,57 MINS,2019,The Spanish Princess
326,An Audacious Plan,Catherine remains determined to become England's future Queen and makes plans to marry Prince Harry. Lizzie has a troubling premonition following a complicated labor.,54 MINS,2019,The Spanish Princess
327,The Battle For Harry,"As the nation mourns Lizzie's passing and Catherine works to secure her marriage to Harry, Henry shocks the family by announcing his intention to honor his wife's dying wish.",57 MINS,2019,The Spanish Princess
328,Heart Versus Duty,Catherine is faced with a dilemma - marry King Henry Tudor and immediately become Queen of England - or find a way to refuse and hold out for Harry.,57 MINS,2019,The Spanish Princess
329,A Polite Kidnapping,"The English throne seems within Catherine's reach, but an unfortunate twist of fate means that her future now lies in the hands of her unstable older sister.",56 MINS,2019,The Spanish Princess
330,All is Lost,"The whole country is suffering - Catherine is barely recognizable as the 'Spanish Princess' and Maggie is destitute, but Catherine is determined not to abandon her destiny.",54 MINS,2019,The Spanish Princess
331,Destiny,The fate of England hangs in the balance when the Tudor family is rocked by tragedy. Catherine risks everything to find out if Harry still loves her.,60 MINS,2019,The Spanish Princess
332,Camelot,"With a powerful alliance with Spain and an heir sleeping in his crib, what could go wrong for glamorous royal couple Catherine and Henry?",59 MINS,2020,The Spanish Princess
333,Flodden,"Henry invades France, leaving a pregnant Catherine to defend England from Scottish king, James IV. Let the Battle of Flodden commence…",57 MINS,2020,The Spanish Princess
334,Grief,"As Catherine fights to restore her marriage after another tragedy, so too Meg must find a way to pull Scotland together after the bloody battle of Flodden.",57 MINS,2020,The Spanish Princess
335,The Other Woman,"As Meg jeopardizes everything for love, a pregnant Catherine wrestles with the sickening suspicion that Henry is being unfaithful.",58 MINS,2020,The Spanish Princess
336,Plague,"When the plague hits London, the court flees to Hampton Court but Maggie and Thomas More remain in the empty – and surprisingly romantic - palace.",59 MINS,2020,The Spanish Princess
337,Field of Cloth of Gold,"A grand meeting in France forms the backdrop for a political clash of wits between Catherine and Wolsey – while back in London, rioting erupts.",57 MINS,2020,The Spanish Princess
338,Faith,"A new religion is on the rise, as is tension at court. Catherine must stop Henry's dangerous paranoia from turning friends into enemies...",59 MINS,2020,The Spanish Princess
339,Peace,"As Henry descends into madness, the stakes have never been higher for Catherine. Her husband has become a threat to her life.",59 MINS,2020,The Spanish Princess
340,Evaristo Salas: The Letter,"At just 16-years old, Evaristo Junior Salas was sent to prison for three decades for a crime he says he did not commit. A team comes together to investigate whether Salas was brought to just...",53 MINS,2018,Wrong Man
341,Evaristo Salas: The Informant,"Investigators Ira Todd and Joe Kennedy meet with the lead detective on the Salas case. He claims an informant implicated Evaristo, but when the informant comes forward, the team is shocked b...",54 MINS,2018,Wrong Man
342,Curtis Flowers: Trial and Error,"On July 16, 1996, Bertha Tardy and three of her employees were murdered. Curtis Flowers was arrested and went on to be tried six times over 21 years; he faces a possible seventh trial, while...",59 MINS,2018,Wrong Man
343,Curtis Flowers: Death Again,"Curtis Flowers is convicted of a quadruple murder. After 21 years of prosecutions, six trials, and questionable tactics by the State of Mississippi, is it possible to determine Flowers' guil...",52 MINS,2018,Wrong Man
344,Christopher Tapp: The Confession,"Wrong Man's team of experts and local Idaho investigator examine Christopher Tapp's claim that he was coerced into falsely confessing to the brutal murder of Angie Dodge on June 13th, 1996 i...",55 MINS,2018,Wrong Man
345,Christopher Tapp: Flawed Freedom,"Our investigation team looks for a killer on the loose, hoping to exonerate the man who is in prison for the crime. Then, after two decades, a surprise offer by the prosecution comes Christo...",52 MINS,2018,Wrong Man
346,Ep 107 - Season 1 Updates,"In Season 1 of Wrong Man, the team of legal and investigative experts re-examined the evidence in three cases of possible wrongful conviction, and yielded incredible results. Get updated on ...",13 MINS,2020,Wrong Man
347,Ep 201 - Vonda Smith: The Case Against Grandma,"Jessie Morrison is beaten to death, police zero in on Vonda Smith. The team explores whether Vonda may have been wrongfully convicted, based on a shoddy investigation and circumstantial evidence.",51 MINS,2020,Wrong Man
348,Ep 202 - Vonda Smith: An Unexpected Twist,Our investigators unravel the mysteries behind Vonda Smiths' possible wrongful conviction and Jessie Morrison's brutal murder.,51 MINS,2020,Wrong Man
349,Ep 203 - Patricia Rorrer: The Hang Up,"When Andy Katrinak comes home to find his wife and infant son gone, he summons the police and tells them he believes they have been abducted, and he suspects his ex-girlfriend Patty Rorrer m...",52 MINS,2020,Wrong Man
350,Ep 204 - Patricia Rorrer: Under the Microscope,"Patty Rorrer is convicted of the kidnapping and murder of her ex-boyfriend's wife and infant son, but ""Wrong Man"" investigators discover that the case is not so clear cut.",52 MINS,2020,Wrong Man
351,Ep 205 - Clair Hour 1: Black or White,"Kenneth Clair, a homeless black man, is convicted and sentenced to death for the brutal murder of a babysitter in 1984. But a child eyewitness told police that he had seen a white man kill her.",53 MINS,2020,Wrong Man
352,Ep 206 - Clair Hour 2: Wire Tapped,"The team calls on experts to take a fresh look at the evidence that led to Kenneth Clair's conviction in the brutal murder of Linda Rodgers. Then, they explore who might actually have done t...",52 MINS,2020,Wrong Man
353,Ep 101 - I,"The once powerful Captain Flint faces mutiny by his own pirate crew. John Silver joins Flint, hiding something of great value. On New Providence, Eleanor Guthrie keeps order in the face of a...",65 MINS,2014,Black Sails
354,Ep 102 - II,Flint unmasks a thief on his crew. Rackham chases a score over Vane's objection. Silver hides with Max in the brothel. Eleanor faces an impossible choice.,52 MINS,2014,Black Sails
355,Ep 103 - III,Flint and Gates seek a partner to hunt the Urca d'Lima. Silver helps Billy with a morale problem. Vane impresses Eleanor by being reasonable. Gates gets a promotion.,57 MINS,2014,Black Sails
356,Ep 104 - IV,An undertaking by the Walrus crew ends in disaster. Silver warns Flint about Billy. Rackham and Bonny try to regain their livelihood. Eleanor needs help from her father. A figure from Vane's...,59 MINS,2014,Black Sails
357,Ep 105 - V,Flint and the Walrus crew play a deadly chess match on the open sea. Richard forces Eleanor's hand. Rackham makes a career change. Bonny confesses to Max.,55 MINS,2014,Black Sails
358,Ep 106 - VI,The costs of chasing the Andromache continue to mount. Eleanor needs Silver's help. Billy wants Gates to confront Flint. Bonny takes a stand.,55 MINS,2014,Black Sails
359,Ep 107 - VII,Flint tells Gates the truth. Randall puts Silver in a bind. Eleanor suffers a loss. Max comes to Rackham's aid. Vane enters the fight of his life.,56 MINS,2014,Black Sails
360,Ep 108 - VIII,The hunt for the Urca is on. Everything changes for Eleanor. Bonny and Rackham's sins come back to haunt them.,56 MINS,2014,Black Sails
361,Ep 201 - IX,Flint and Silver face judgement before the crew. Vane enjoys his new position on the island. Max confronts Bonny. Eleanor faces a new threat.,55 MINS,2015,Black Sails
362,Ep 202 - X,Flint gives Dufresne some advice. Silver must make himself indispensable. Eleanor is asked to depose a captain. Rackham gets ambitious.,60 MINS,2015,Black Sails
363,Ep 203 - XI,Flint faces a dilemma upon his return to Nassau. Eleanor needs help from an unlikely source. Rackham seeks to repair his reputation. Vane uncovers an unexpected prize.,58 MINS,2015,Black Sails
364,Ep 204 - XII,Flint threatens Vane. Eleanor chooses a side. Rackham learns what Max is capable of. Silver reunites with an old friend.,58 MINS,2015,Black Sails
365,Ep 205 - XIII,Miranda embarks on a journey to save the island. Eleanor opens old wounds. Rackham sniffs around a big secret. Vane must take matters into his own hands.,57 MINS,2015,Black Sails
366,Ep 206 - XIV,Eleanor brokers a peace. Rackham learns the hard way. Flint breaks a promise. Bonny loses control.,60 MINS,2015,Black Sails
367,Ep 207 - XV,Max cleans up after a massacre. News from the outside world changes everything for Flint and Silver. Eleanor risks her life for the sake of her future. Bonny faces a crossroads. Dufresne pus...,60 MINS,2015,Black Sails
368,Ep 208 - XVI,Flint and Miranda prepare for the worst. Silver has his eyes opened. Eleanor discovers Max's secret. Vane makes his move.,53 MINS,2015,Black Sails
369,Ep 209 - XVII,Flint and Miranda confront their past. Bonny declares her intents to Rackham. Vane takes a massive prize. Eleanor declares war.,61 MINS,2015,Black Sails
370,Ep 210 - XVIII,An unlikely ally comes to Flint's aid. Vane's crew wants a change. Silver makes a sacrifice.,55 MINS,2015,Black Sails
371,Ep 301 - XIX,Flint and his crew wage war against the world. Eleanor receives an offer of clemency. Vane objects to Rackham's methods. One of Nassau's most notorious returns.,62 MINS,2016,Black Sails
372,Ep 302 - XX,The Walrus crew battles the elements. Teach and Rackham have a disagreement. Rogers and Eleanor set terms for their partnership. Bonny fears for her future with Max.,57 MINS,2016,Black Sails
373,Ep 303 - XXI,"Stranded at sea, Flint pushes Silver to his limit. As Nassau prepares to repel an invasion, Rackham takes the reins, while Max gets her house in order. To stave off defeat, Vane makes a diff...",62 MINS,2016,Black Sails
374,Ep 304 - XXII,"Civilization returns to Nassau, and sets its sights on Vane. Flint, Silver and Billy encounter a new enemy. Rackham takes a stand against his crew. Scott finds his place in the new regime.",56 MINS,2016,Black Sails
375,Ep 305 - XXIII,"Facing certain death, Silver pushes Flint to take action. Teach shows Vane a way forward. A new threat puts Eleanor and Rogers on notice. Max makes her play.",58 MINS,2016,Black Sails
376,Ep 306 - XXIV,Flint challenges Teach over the future of piracy. Rogers makes an arrest. Rackham finds new purpose. Madi comes to Silver's aid.,55 MINS,2016,Black Sails
377,Ep 307 - XXV,"Flint and Silver return to Nassau, and a legend is born. A change in terms put Rackham and Bonny in jeopardy. Vane's mission evolves. Eleanor confides in Rogers.",61 MINS,2016,Black Sails
378,Ep 308 - XXVI,Rogers comes under attack while moving a prisoner. Violence erupts on the Walrus. Silver and Madi are put to a test. Billy sees a new role for himself in the coming battle.,52 MINS,2016,Black Sails
379,Ep 309 - XXVII,Eleanor puts everything on the line to save Rogers. Billy recruits allies. Flint and Silver prepare for war.,60 MINS,2016,Black Sails
380,Ep 310 - XXVIII,Rogers and his forces come for the pirates. Rackham and Bonny face impossible odds. Silver demands answers from Flint. Billy crowns a king.,52 MINS,2016,Black Sails
381,Ep 401 - XXIX,The invasion of Nassau meets with catastrophe. Teach and Rackham seek revenge for the death of Charles Vane. Eleanor adjusts to her new role.,62 MINS,2017,Black Sails
