,Episode,Description,Duration,Year,Series
29,Ep 310 - MADE YOU LOOK,"Desperation sets in as Howard tries to evade the Task Force and Ronnie goes on the attack, leaving Raq and Kanan to make some fateful choices.",51 MINS,2024,Power Book III: Raising Kanan
30,Ep 101 - Love You Like A Sister,"NMFS agent Jackie Quiñones has a wrench thrown in her fun, free-wheeling, booze-addled life when she uncovers a dead body on the beach, plunging her into the center of a complicated and dang...",57 MINS,2020,Hightown
31,Ep 102 - Severely Weatherbeaten,"After discovering a lead on Sherry's murder, Jackie becomes determined to solve the case. Junior finds himself trapped in a position he can't stomach, and Ray connects with his CI Renee in w...",55 MINS,2020,Hightown
32,Ep 103 - Rebellion Dogs,"Jackie returns to rehab, but only to help further her investigation. Ray starts closing in on Osito at the same time he and Renee cross the line. Junior takes the first step to becoming a soldier.",56 MINS,2020,Hightown
33,Ep 104 - B.F.O.,"Jackie finds out where Krista Collins is staying, but gets pulled back into her own life. Ray comes face to face with Osito. Junior tries to reconcile with Donna's family.",59 MINS,2020,Hightown
34,Ep 105 - The Best You'll Feel All Day,"Jackie goes on a bender, threatening everything she's got going for her, throwing her sobriety out the window, and ultimately putting Krista Collins in danger like never before. Junior has t...",58 MINS,2020,Hightown
35,Ep 106 - The White Whale,Jackie and Junior struggle to cope in the wake of a traumatic event. Ray's investigation picks up speed. Ray is there for Renee when she really needs him.,58 MINS,2020,Hightown
36,Ep 107 - Everybody's Got a Cousin in Miami,"When Jackie realizes Junior's involved with Sherry's murder, she enlists Ray and the entire CCINU to track him down – before Frankie has him killed. Renee finds herself deeply questioning he...",58 MINS,2020,Hightown
37,Ep 108 - #Blessed,"Jackie and Ray try to return to business as usual after a depressing failure, only to learn the case might not actually be closed.",56 MINS,2020,Hightown
38,Ep 201 - Great White,"Jackie is white-hot to prove herself as a cop and avenge the death of her best friend, Junior. Frankie teams up with his cousin while Ray's off the force because of Renee. There's a new dead...",56 MINS,2021,Hightown
39,Ep 202 - Girl Power,"Jackie's new partner Leslie matches her ambition perfectly as their relationship deepens on and off the force. Frankie and Jorge continue moving ahead but Charmaine, their New York connectio...",54 MINS,2021,Hightown
40,Ep 203 - Fresh as a Daisy,"Jackie abandons her stakeout for a fiery confrontation. Ray is once again humiliated, and does what he can to get back on the force.",55 MINS,2021,Hightown
41,Ep 204 - Daddy Issues,"Jackie and Leslie get deeper into the case, and with each other. Someone will make a decision they will regret.",58 MINS,2021,Hightown
42,Ep 205 - Dot Dot Dot,Jackie and Ray both realize a distressing truth. Frankie feels threatened and Renee proves herself to be ruthless.,56 MINS,2021,Hightown
43,Ep 206 - Behind Every Skirt is a Slip,"It's the day before Thanksgiving on the Cape: things are looking up for Ray, and looking grim for Jackie. Frankie is filled with anxiety over his business with Jorge.",58 MINS,2021,Hightown
44,Ep 207 - Crack is Wack,"It's Thanksgiving but the drugs and despair don't let up. Frankie, riding an ocean of anxiety, takes Renee to the point of no return. Ray is going all in on a case no one wants him on, and A...",58 MINS,2021,Hightown
45,"Ep 208 - Houston, We Have a Problem","Ray is so close to getting everything he's wanted, but he will have to maneuver things just right. Jackie's met with a crossroad and must choose how to move forward.",57 MINS,2021,Hightown
46,Ep 209 - Small Craft Warning,Renee risks everything to change her world around. Alan sets a trap that covers the entire Cape.,50 MINS,2021,Hightown
47,Ep 210 - Fool Me Twice,"The whole ""Great White"" operation is cracked open, but some mysteries remain. Ray has a complicated ending. Jackie goes from feeling like a hero after an important discovery to the zero who ...",58 MINS,2021,Hightown
48,Ep 301 - Good Times,"State cop Jackie Quiñones is back to her wild partying ways, Ray Abruzzi is top cop after taking down the New York connection, and imprisoned Frankie Cuevas secures a new partner on the outside.",53 MINS,2024,Hightown
49,"Ep 302 - I Said No, No, No",Jackie fails a pee test and she is off the force - and it wasn't even her pee! Renee unwittingly lets Frankie back into her life and Osito defends his turf.,54 MINS,2024,Hightown
50,Ep 303 - Fall Brook,Tempers boil over and Ray and Alan explode at each other. Frankie learns valuable intel about Osito and Jackie learns there are even more missing or murdered prostitutes.,51 MINS,2024,Hightown
51,Ep 304 - Jackpot,"Jackie lays out her missing prostitute's case and gets Alan's cooperation to go after Swayzee. And from behind bars, Frankie orchestrates his greatest coup yet.",51 MINS,2024,Hightown
52,Ep 305 - 29 Days Later,Shane has a new partner. Frankie has intel for Alan on Jorge's murder. Ray and Renee's relationship hits rock bottom and Jackie completes rehab - no more rogue hero BS.,55 MINS,2024,Hightown
53,Ep 101 - See It... Touch It... Obtain It,"Meech avoids a street war by moving his crew ""The 50 Boyz"" to a new location. He and his brother Terry cook up a more potent batch of drugs that creates enough demand to help their family ov...",52 MINS,2021,BMF
54,Ep 102 - RUMORS,"Tensions rise between The 50 Boyz and their rivals, which creates repercussions. Lamar plants misinformation so he can actively step towards the throne.",52 MINS,2021,BMF
55,"Ep 103 - Love All, Trust Few","Meech and Terry set up an undercover operation using a food truck to sell drugs to factory workers, while Detective Lopez investigates a murder at the center of the city's drug war.",52 MINS,2021,BMF
56,Ep 104 - HEROES,"Lamar's reign of terror continues, as he works overtime to shut down ""The 50 Boyz"" for good.",52 MINS,2021,BMF
57,Ep 105 - Secrets and Lies,Meech and Terry devise a multi-layered plan to reclaim what is rightfully theirs. Detective Lopez's murder investigation begins to heat up when an account from an eyewitness brings some unex...,52 MINS,2021,BMF
58,Ep 106 - Strictly Business,"Meech and Terry create a new system for ""The 50 Boyz"" to operate more efficiently, while a secret within their ranks threatens to tear the crew apart.",52 MINS,2021,BMF
59,Ep 107 - All In The Family,"Blood spills into the streets when Meech devises a plan for revenge, forcing Lamar to seek shelter with someone close, which complicates matters even more.",51 MINS,2021,BMF
60,Ep 108 - The King of Detroit,"In an effort to expand into new territory, Meech discovers a disturbing alliance then hatches a plan to eliminate the threat. Terry is forced to make a life-altering decision.",52 MINS,2021,BMF
61,Ep 201 - Family Dinner,"Meech smuggles drugs from Las Vegas as a test to secure a new plug for BMF, a vicious gangster from the Brewster Projects, K-9. Meanwhile, Terry began his new car-ride business with Charles ...",52 MINS,2023,BMF
62,Ep 202 - Family Business,Meech focuses on expanding BMF into Cleveland while Terry experiences growing pains as he launches his car-ride business with Charles. Terry learns Meech could be in danger.,51 MINS,2023,BMF
63,Ep 203 - Devil's Night,"Devil's Night and a drug drought causes chaos and a spike in crime in the city of Detroit. Meech seeks a new supply from K-9 at a bloody cost, while Terry confronts a car service competitor.",52 MINS,2023,BMF
64,Ep 204 - Runnin' on E,"With Meech barely out of the hospital and still bleeding out, Terry assumes command of BMF, yet BMF is 'Runnin on E' strapped for cash, out of product, and down to their last men. Terry trie...",49 MINS,2023,BMF
65,Ep 205 - Moment of Truth,"On the run, broke and in search of a new plug, Meech and Terry discover the Black Mecca of Atlanta where they connect with old friends and make new allies in an effort to rebuild their busin...",51 MINS,2023,BMF
66,Ep 206 - HOMECOMING,Meech and Terry return to Detroit from Atlanta with a product and a new technique to flood the streets with BMF product. Meech links up with Sterling and the PA Boys to continue his quest to...,51 MINS,2023,BMF
67,Ep 207 - Both Sides of the Fence,"In a risky move that could cost them their lives, Meech and Terry travel to St. Martin to steal K-9's Colombian connect.",51 MINS,2023,BMF
68,Ep 208 - Push It to the Limit,The Flenory brothers buy a car wash to pack cars after being flushed with product from a new plug. Meech turns dealers into kingmakers while Terry hires new drivers.,51 MINS,2023,BMF
69,Ep 209 - High Treason,"The Flenory brothers travel to Atlanta during Freaknik to set up a new distribution hub for BMF and reconnect with their business associates, Ty Washington and Goldie – yet not everyone surv...",51 MINS,2023,BMF
70,Ep 210 - New Beginnings,"Meech and Terry finally handle Detective Bryant, Lamar, and B-Mickie before charting the next big step for BMF's expansion, which will change the course of their relationship forever.",51 MINS,2023,BMF
71,Ep 101 - The Stranger,"As Tariq St. Patrick begins his new life at Stansfield University, he's torn between two worlds: doing as his mother said, living his life as a normal college kid; or doing what she taught h...",70 MINS,2020,Power Book II: Ghost
72,Ep 102 - Exceeding Expectations,"Haunted by the legacy of his father, Tariq tries to understand who James St. Patrick was to the people in his life, how it's shaped Tariq's own life, and how the memories of his father defin...",60 MINS,2020,Power Book II: Ghost
73,Ep 103 - Play The Game,Tariq struggles with the weight of providing for his mother's mounting legal defense while juggling the rigors of Ivy League life.,61 MINS,2020,Power Book II: Ghost
