,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
96,Man Of The Year,PG-13,114 MINS,"COMEDY, DRAMA",2006,"Robin Williams, Christopher Walken, Laura Linney","A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected.",https://www.starz.com/us/en/movies/man-of-the-year-60346
97,The Exorcist III,R,110 MINS,"HORROR, MYSTERY",1990,"George C. Scott, Ed Flanders, Brad Dourif",A police detective investigates bizarre ritualistic murders that bear more than passing resemblance to those of an executed killer.,https://www.starz.com/us/en/movies/the-exorcist-iii-47017
98,CBGB,R,102 MINS,"DRAMA, TRUE STORY",2013,"Alan Rickman, Malin Akerman, Justin Bartha","Hilly Kristal had a dream - to open a country/bluegrass music spot in NYC. But his club, CBGB, became the birthplace of 70s punk when Blondie, the Ramones, Talking Heads and The Police launched their careers there.",https://www.starz.com/us/en/movies/cbgb-65068
99,Plan C,TV-14,94 MINS,DOCUMENTARY,2023,"Francine Coeytaux, Loretta J. Ross",Follow a hidden grassroots organization as it doggedly fights to expand access to abortion pills across the United States keeping hope alive during a global pandemic and the fall of Roe v. Wade.,https://www.starz.com/us/en/movies/plan-c-71240
100,Speed,R,116 MINS,"ACTION, SUSPENSE",1994,"Keanu Reeves, Sandra Bullock, Dennis Hopper","Rush hour will never be the same! A SWAT team ace must keep the speed of a Santa Monica bus above 50 mph, or a madman's bomb will explode.",https://www.starz.com/us/en/movies/speed-47573
101,The Karate Kid,PG,140 MINS,"ACTION, DRAMA",2010,"Jaden Smith, Jackie Chan, Taraji P. Henson","A 12-year-old boy from Detroit lands in China with his mom, falls for a local girl, and immediately makes enemies - then meets kung fu master Mr. Han, who will teach him martial arts. A fun, energetic remake!",https://www.starz.com/us/en/movies/the-karate-kid-39729
102,Passengers,PG-13,116 MINS,"ADVENTURE, ROMANCE",2016,"Jennifer Lawrence, Chris Pratt, Michael Sheen","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",https://www.starz.com/us/en/movies/passengers-29368
103,Beyond the Lights,PG-13,116 MINS,"ROMANCE, DRAMA",2014,"Gugu Mbatha-Raw, Nate Parker, Danny Glover",A local police officer saves the life of a singer on the edge in more ways than one in this enchanting romantic drama.,https://www.starz.com/us/en/movies/beyond-the-lights-50803
104,The Karate Kid Part II,PG,113 MINS,"ACTION, DRAMA",1986,"Noriyuki ""Pat"" Morita, Ralph Macchio, Pat Morita","Daniel travels with martial arts mentor Mr. Myagi to Okinawa, where both must settle scores with rivals in this high-kicking sequel.",https://www.starz.com/us/en/movies/the-karate-kid-part-ii-6409
105,Planet of the Apes,G,112 MINS,"SCI-FI, DRAMA",1968,"Charlton Heston, Roddy McDowall, Kim Hunter","The original classic! Astronauts crash land on a future planet where apes are masters and humans are slaves. Oscar winner for Makeup Effects. ""Get your stinking paws off me, you damn dirty ape!""",https://www.starz.com/us/en/movies/planet-of-the-apes-46406
106,All The Money In The World,R,132 MINS,"BIOGRAPHY, CRIME",2017,"Mark Wahlberg, Timothy Hutton, Christopher Plummer","The story of the kidnapping of John Paul Getty III in the 1970s, and the desperate attempt by his mother to convince his billionaire grandfather, Jean Paul Getty, to pay the ransom.",https://www.starz.com/us/en/movies/all-the-money-in-the-world-39714
107,Zero Dark Thirty,R,157 MINS,"DRAMA, TRUE STORY",2012,"Jessica Chastain, Mark Strong, Joel Edgerton","The decade-long hunt for Osama Bin Laden is depicted - the controversial interrogations, dead ends, and puzzling clues are pieced together, leading to a gripping raid in Pakistan. Oscar winner for Best Editing.",https://www.starz.com/us/en/movies/zero-dark-thirty-50502
108,The Thin Red Line,R,170 MINS,"DRAMA, ACTION",1998,"Sean Penn, Adrien Brody, Jim Caviezel",The men of Charlie Company try to take Guadalcanal Island from the Japanese in World War II.,https://www.starz.com/us/en/movies/the-thin-red-line-24022
109,The Social Network,PG-13,120 MINS,"DRAMA, BIOGRAPHY",2010,"Jesse Eisenberg, Justin Timberlake, Andrew Garfield","Based on the true story of the founding of Facebook - Mark Zuckerberg dreamed up the social networking phenomenon in 2003, but six years and hundreds of million dollars in earnings later, his life is complicated.",https://www.starz.com/us/en/movies/the-social-network-40248
110,"Roman J. Israel, Esq.",PG-13,122 MINS,"CRIME, DRAMA",2017,"Denzel Washington, Colin Farrell, Carmen Ejogo","Roman Israel is a driven, idealistic defense attorney who, through a tumultuous series of events, finds himself in a crisis that leads to extreme action.",https://www.starz.com/us/en/movies/roman-j-israel-esq-38553
111,Nightcrawler,R,117 MINS,"CRIME, DRAMA",2014,"Jake Gyllenhaal, Bill Paxton, Rene Russo",A freelance cameraman goes to increasingly greater lengths to get shots of the most-lurid and disturbing crimes on the dark streets of Los Angeles.,https://www.starz.com/us/en/movies/nightcrawler-51048
112,Wall Street,R,125 MINS,DRAMA,1987,"Michael Douglas, Charlie Sheen, Martin Sheen","A young stockbroker hooks up with a shady, sinister Wall Street mover and shaker, and finds himself knee-deep in an insider trading scandal.",https://www.starz.com/us/en/movies/wall-street-41728
113,Spotlight,R,128 MINS,"DRAMA, BIOGRAPHY",2015,"Mark Ruffalo, Michael Keaton, Rachel McAdams",Journalists from The Boston Globe investigate a cover-up of sexual abuse within the Roman Catholic Church.,https://www.starz.com/us/en/movies/spotlight-51541
114,The Poseidon Adventure,PG,117 MINS,"ACTION, ADVENTURE",1972,"Gene Hackman, Ernest Borgnine, Shelley Winters",The original disaster classic! A clergyman leads survivors of a capsized luxury liner through the ship's innards to its highest point.,https://www.starz.com/us/en/movies/the-poseidon-adventure-38892
115,Broadcast News,R,132 MINS,"COMEDY, ROMANCE",1987,"William Hurt, Holly Hunter, Albert Brooks","A hilarious, insightful look at the world of network television news: a hot-shot female producer falls for a pretty boy anchor, causing her to question everything.",https://www.starz.com/us/en/movies/broadcast-news-41531
116,A Fantastic Woman,R,104 MINS,"DRAMA, LGBTQ",2017,"Francisco Reyes, Luis Gnecco, Aline Kuppenheim",A transgender woman and her older lover are planning a future together when he suddenly dies and his family wants nothing to do with her.,https://www.starz.com/us/en/movies/a-fantastic-woman-39611
117,Grand Canyon,R,134 MINS,"DRAMA, ROMANCE",1991,"Danny Glover, Kevin Kline, Steve Martin","An upscale wife finds an abandoned baby in an alley, her husband ends an affair with his young secretary, a volatile movie producer examines his life, and a tow-truck driver finds love.",https://www.starz.com/us/en/movies/grand-canyon-38411
118,Pain And Glory,R,113 MINS,"DRAMA, LGBTQ",2019,"Antonio Banderas, Penélope Cruz, Leonardo Sbaraglia",A film director reflects on the choices he's made in life as past and present come crashing down around him. Subtitled.,https://www.starz.com/us/en/movies/pain-and-glory-52204
119,The Fabulous Baker Boys,R,113 MINS,"ROMANCE, COMEDY",1989,"Jeff Bridges, Michelle Pfeiffer, Beau Bridges",Performing pianist brothers Frank and Jack Baker add a surly yet sexy female singer to their lounge act - changing their lives forever. Michelle Pfeiffer won a Golden Globe for her performance.,https://www.starz.com/us/en/movies/the-fabulous-baker-boys-47871
120,Land Of Mine,R,101 MINS,"DRAMA, FOREIGN",2015,"Roland Moller, Mikkel B. Følsgaard, Laura Bro",A group of German POWs are forced to dig up millions of land mines with their bare hands. Subtitled.,https://www.starz.com/us/en/movies/land-of-mine-34402
121,Wild Tales,R,122 MINS,"COMEDY, DRAMA",2014,"Rita Cortese, Ricardo Darin, Nancy Duplaa","Award-winning anthology from Argentina composed of six short films united by a common theme of tragedy, revenge, and violence found in everyday detail. Nominated for 2015 Best Foreign Language Film Oscar.",https://www.starz.com/us/en/movies/wild-tales-24327
122,Whale Rider,PG-13,101 MINS,"DRAMA, FAMILY",2003,"Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton",A young girl struggles against old world beliefs as she tries to convince her grandfather that she is every bit as worthy as the young boys being considered as their people's next leader.,https://www.starz.com/us/en/movies/whale-rider-49484
123,Tomorrowland,PG,130 MINS,"ADVENTURE, SCI-FI",2015,"George Clooney, Hugh Laurie, Britt Robertson","A former boy genius and a gifted teenager set out on a dangerous mission to unearth the secrets of Tomorrowland, a mysterious place caught between time and space.",https://www.starz.com/us/en/movies/tomorrowland-25407
124,Passion,R,101 MINS,"DRAMA, MYSTERY",2012,"Noomi Rapace, Rachel McAdams, Paul Anderson",The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.,https://www.starz.com/us/en/movies/passion-66537
125,Kingdom of Heaven,R,144 MINS,"DRAMA, ACTION",2005,"Orlando Bloom, Eva Green, Liam Neeson","During the Crusades of the 12th Century, a young blacksmith leads the people of Jerusalem in defense against the Crusaders.",https://www.starz.com/us/en/movies/kingdom-of-heaven-25424
126,Chef,R,114 MINS,"ADVENTURE, COMEDY",2014,"Jon Favreau, Sofía Vergara, John Leguizamo","A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.",https://www.starz.com/us/en/movies/chef-51100
127,Clerks III,R,100 MINS,COMEDY,2022,"Kevin Smith, Brian O'Halloran, Jeff Anderson",Randal decides to make a movie about working at the Quick Stop after he suffers a near-fatal heart attack.,https://www.starz.com/us/en/movies/clerks-iii-68494
128,Mallrats,R,95 MINS,"COMEDY, CULT",1995,"Shannen Doherty, Jeremy London, Jason Lee",Two Gen-X slackers lose their girlfriends and head for the mall - but that's just an excuse for a dizzying array of surreal situations and outrageous comedy.,https://www.starz.com/us/en/movies/mallrats-6614
129,Titan A.E.,PG,95 MINS,"ANIMATED, SCI-FI",2000,"Matt Damon, Drew Barrymore, Bill Pullman","In the far future after Earth was destroyed in an attack by an alien race, a human teenager finds his way to to a mysterious ""earthship"" called The Titan - and discovers how to save mankind.",https://www.starz.com/us/en/movies/titan-a-e-25833
130,Spy Game,R,126 MINS,"SUSPENSE, ACTION",2001,"Robert Redford, Brad Pitt, Catherine McCormack",A CIA veteran on his last day on the job in Virginia must use all his resources and guile - including deceiving his bosses - to help rescue a rogue agent captured by the Chinese. An explosive thriller!,https://www.starz.com/us/en/movies/spy-game-43829
131,The Beach,R,119 MINS,DRAMA,2000,"Leonardo DiCaprio, Tilda Swinton, Virginie Ledoyen","An adventurous young man travels to Thailand and finds a strange map with rumors that it leads to a beach of tropical bliss. Intrigued, he sets out to find the mysterious place, only to discover trouble in paradise.",https://www.starz.com/us/en/movies/the-beach-24466
132,Knight Of Cups,R,118 MINS,"DRAMA, FANTASY",2015,"Natalie Portman, Christian Bale, Cate Blanchett","A writer indulging in all that Los Angeles and Las Vegas have to offer, undertakes a search for love and self via a series of adventures with six different women.",https://www.starz.com/us/en/movies/knight-of-cups-68615
133,T2 Trainspotting,R,117 MINS,"COMEDY, CRIME",2017,"Ewan McGregor, Jonny Lee Miller, Robert Carlyle",The original Trainspotting gang reunites 20 years after their cinematic debut.,https://www.starz.com/us/en/movies/t2-trainspotting-35484
134,Cookie's Fortune,PG-13,118 MINS,"COMEDY, DRAMA",1999,"Glenn Close, Julianne Moore, Liv Tyler",Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,https://www.starz.com/us/en/movies/cookies-fortune-12999
135,The Front Runner,R,113 MINS,"BIOGRAPHY, DRAMA",2018,"Hugh Jackman, Vera Farmiga, Kaitlyn Dever",Democrat Gary Hart becomes the front-runner for the 1988 presidential nomination until allegations of an extramarital affair derail his campaign.,https://www.starz.com/us/en/movies/the-front-runner-44715
136,Rock The Kasbah,R,106 MINS,"COMEDY, MUSIC",2015,"Bill Murray, Bruce Willis, Kate Hudson","After discovering a talented teenage singer in Afghanistan, a washed-up American music manager makes it his mission to land her a spot on the television show ""Afghan Star.""",https://www.starz.com/us/en/movies/rock-the-kasbah-50936
137,The Big Trip,G,84 MINS,"ANIMATED, FAMILY",2019,"Drake Bell, Pauly Shore","A stork mistakenly delivers a baby panda to the wrong door. A bear, a moose, a tiger, and a rabbit set on a fun filled adventure to return the panda home.",https://www.starz.com/us/en/movies/the-big-trip-70760
138,Dr. Dolittle 2,PG,87 MINS,"COMEDY, FAMILY",2001,"Eddie Murphy, Kristen Wilson, Raven-Symone",He talks to the animals - again! Dr. Dolittle tries to convince two wildly different bears that they must come together to save a forest slated for destruction!,https://www.starz.com/us/en/movies/dr-dolittle-2-41551
139,The Nut Job,PG,85 MINS,"ANIMATED, ADVENTURE",2014,"Liam Neeson, Brendan Fraser, Katherine Heigl",A mischievous squirrel and his sidekick assemble a ragtag animal crew to get inside their town's nut shop and steal enough food for the winter.,https://www.starz.com/us/en/movies/the-nut-job-50933
140,Planet 51,PG,91 MINS,"ANIMATED, ADVENTURE",2009,"Dwayne Johnson, Jessica Biel, Justin Long","Planet 51 - a far-away world recalling 1950s America - is paranoid about alien invasions from outer space. So when a NASA astronaut lands and hysteria erupts, the young science student who befriends him must save the day!",https://www.starz.com/us/en/movies/planet-51-36259
141,The Karate Kid,PG,127 MINS,"ACTION, ADVENTURE",1984,"Ralph Macchio, Pat Morita, Elisabeth Shue","Daniel, a New Jersey teen, moves to California and finds himself the target of bullies - but then he meets Mr. Myagi and discovers martial arts!",https://www.starz.com/us/en/movies/the-karate-kid-6462
142,Thumbelina,G,86 MINS,"ANIMATED, FAMILY",1994,"Jodi Benson, Kenneth Mars, Charo","Based on the famous fairy tale - tiny Thumbelina longs for a husband, and soon meets a fairy prince. But they are separated, and Thumbelina tumbles into a crazy world of toads, moles and other unsuitable suitors.",https://www.starz.com/us/en/movies/thumbelina-23863
143,Rebound,PG,86 MINS,"COMEDY, FAMILY",2005,"Martin Lawrence, Wendy Raquel Robinson, Steven Anthony Lawrence","Suspended after a public outburst, a college basketball coach accepts a short-term job with a team of middle schoolers.",https://www.starz.com/us/en/movies/rebound-26063
144,The Reef 2: High Tide,PG,80 MINS,"ANIMATED, ADVENTURE",2012,"Busy Philipps, Rob Schneider, Frankie Jonas","Trained in the skills of sea power, Pi the fish can fight any predator that threatens his friends and neighbors on the reef. Unfortunately, being the only hero in town can take its toll.",https://www.starz.com/us/en/movies/the-reef-2-high-tide-65110
145,Wings,G,87 MINS,"ADVENTURE, ANIMATED",2012,"Josh Duhamel, Hilary Duff, Jesse McCartney","A few weeks before a big airshow, Ace gets his acceptance letter to take part in the competition to become the next champion.",https://www.starz.com/us/en/movies/wings-66506
146,Home Alone 3,PG,102 MINS,"COMEDY, FAMILY",1997,"Alex D. Linz, Olek Krupa, Rya Kihlstedt",The slapstick kid vs. bad guys adventures continue as little Alex discovers spies are trying to retrieve a top-secret microchip - but they encounter a maze of hilarious booby traps when they enter Alex's house!,https://www.starz.com/us/en/movies/home-alone-3-32938
147,FernGully: The Last Rainforest,G,76 MINS,"ANIMATED, ADVENTURE",1992,"Robin Williams, Tim Curry, Samantha Mathis","A woodland fairy and her pals - including a crazy motor-mouth bat - save the life of a lumberjack by shrinking him to miniature size, and then battle the evil forces trying to destroy their rainforest.",https://www.starz.com/us/en/movies/ferngully-the-last-rainforest-37558
148,Little Women,PG,135 MINS,"DRAMA, FAMILY",2019,"Saoirse Ronan, Emma Watson, Florence Pugh",Four sisters come of age in America during the aftermath of the Civil War.,https://www.starz.com/us/en/movies/little-women-52172
149,"Are You There God? It's Me, Margaret.",PG-13,106 MINS,"COMEDY, DRAMA",2023,"Abby Ryder Fortson, Rachel McAdams, Kathy Bates","Raised by a Christian mother and a Jewish father, an adolescent girl starts to ask questions about faith and religion. Based on the beloved novel by Judy Blume.",https://www.starz.com/us/en/movies/are-you-there-god-its-me-margaret-64991
150,A Mermaid's Tale,G,92 MINS,"FAMILY, FANTASY",2017,"Caitlin Carmichael, Jerry O'Connell, Barry Bostwick",Twelve-year-old Ryan is despondent about moving to a dying seacoast village until she forms an unlikely friendship with a quirky teenage mermaid.,https://www.starz.com/us/en/movies/a-mermaids-tale-66416
151,Cheaper By The Dozen,PG,98 MINS,"COMEDY, FAMILY",2003,"Steve Martin, Bonnie Hunt, Piper Perabo","While his wife is away on business, a college football coach must handle the chaos surrounding his 12 children.",https://www.starz.com/us/en/movies/cheaper-by-the-dozen-32924
152,Bernie the Dolphin,G,88 MINS,"ADVENTURE, COMEDY",2018,"Lola Sultan, Logan Allen, Kevin Sorbo","A brother and sister befriend a badly sunburned dolphin that has been separated from its family, uncovering a secret plan that could destroy the beach and their new friend's home.",https://www.starz.com/us/en/movies/bernie-the-dolphin-70758
153,Ainbo: Spirit Of The Amazon,TV-G,84 MINS,"ADVENTURE, ANIMATED",2021,"Thom Hoffman, Bernardo De Paula, Joe Hernandez",The epic journey of a young hero and her Spirit Guides who embark on a quest to save their home in the spectacular Amazon Rainforest.,https://www.starz.com/us/en/movies/ainbo-spirit-of-the-amazon-67951
154,The Last Deal,R,90 MINS,"ACTION, CRIME",2023,"Gigi Gustin, Sala Baker, Anthony Molinari","When marijuana becomes legal, a black market cannabis dealer is forced to make one last deal before he's squeezed out of the business.",https://www.starz.com/us/en/movies/the-last-deal-69175
155,The Unbearable Weight Of Massive Talent,R,106 MINS,"ACTION, COMEDY",2022,"Nicolas Cage, Pedro Pascal, Tiffany Haddish","In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and CIA agents (Tiffany Haddish, Ike Barinholtz).",https://www.starz.com/us/en/movies/the-unbearable-weight-of-massive-talent-60220
156,Fall,PG-13,107 MINS,"ACTION, SUSPENSE",2022,"Grace Caroline Currey, Virginia Gardner, Jeffrey Dean Morgan","Stranded 2,000 feet at the top of a remote, abandoned radio tower, two expert climbers are put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights.",https://www.starz.com/us/en/movies/fall-68039
157,About My Father,PG-13,89 MINS,COMEDY,2023,"Robert De Niro, Sebastian Maniscalco, Leslie Bibb","When Sebastian tells his old-school Italian immigrant father Salvo that he is going to propose to his all-American girlfriend, Salvo insists on crashing a weekend with her tony parents.",https://www.starz.com/us/en/movies/about-my-father-67778
158,A Southern Haunting,TV-14,93 MINS,"HORROR, DRAMA",2023,"Imani Hakim, Laya DeLeon Hayes, Graham Patrick Martin","After receiving 40 acres, a former slave family battles man and myth to uncover the truth that lurks behind their land.",https://www.starz.com/us/en/movies/a-southern-haunting-69700
159,Ambulance,R,136 MINS,"ACTION, SUSPENSE",2022,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González","A decorated veteran teams up with his adoptive brother to steal $32 million from a Los Angeles bank. When their getaway goes wrong, the desperate thieves hijack an ambulance that's carrying a wounded cop and an EMT worker.",https://www.starz.com/us/en/movies/ambulance-64749
160,Match Me If You Can,TV-14,104 MINS,"COMEDY, ROMANCE",2023,"Georgina Reilly, Wilson Bethel, Brian George","After being deemed ""unmatchable,"" a scorned computer nerd declares war against a dating service, becoming an accidental spokesperson for all frustrated singles.",https://www.starz.com/us/en/movies/match-me-if-you-can-71244
161,As Good As Dead,TV-MA,89 MINS,"ACTION, CRIME",2022,"Michael Jai White, Tom Berenger, Louis Mandylor",A man with a mysterious past moves to a small Mexican border-town to start over. He reluctantly befriends a troubled local teen who is being recruited by the local street gang.,https://www.starz.com/us/en/movies/as-good-as-dead-69324
162,Among The Beasts,TV-MA,100 MINS,"ACTION, MYSTERY",2023,"Tory Kittles, Libe Barer, Sarunas J. Jackson","One year after his own niece's disappearance, a traumatized Marine is recruited by a drug kingpin to find another missing girl with a very similar story.",https://www.starz.com/us/en/movies/among-the-beasts-68903
163,Prey For The Devil,PG-13,93 MINS,"HORROR, SUSPENSE",2022,"Virginia Madsen, Jacqueline Byers, Christian Navarro",A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,https://www.starz.com/us/en/movies/prey-for-the-devil-60222
164,Marry Me,PG-13,112 MINS,"COMEDY, ROMANCE",2022,"Jennifer Lopez, Owen Wilson, Maluma","On the day of her wedding, a pop star marries a complete stranger after finding out that her fiance cheated on her.",https://www.starz.com/us/en/movies/marry-me-64747
165,SAS: Red Notice,R,124 MINS,"ACTION, SUSPENSE",2021,"Sam Heughan, Ruby Rose, Andy Serkis","A groom's wedding plans are disrupted when a small army of well-trained criminals, led by Laszlo Antonov, hijack the Eurostar deep beneath the English Channel.",https://www.starz.com/us/en/movies/sas-red-notice-65092
166,Malum,TV-MA,93 MINS,HORROR,2023,"Jessica Sula, Candice Coke, Chaney Morrow","After taking the last shift at a newly decommissioned station, a rookie police officer finds herself barraged by terrifying supernatural events while unveiling the truth behind her family's twisted past.",https://www.starz.com/us/en/movies/malum-71170
167,Corsicana,R,102 MINS,"DRAMA, WESTERN",2022,"Isaiah Washington, Lew Temple, Noel Guglielmi","Deputy US Marshal Bass Reeves reunites with his former partner turned fugitive Sam Tanner. Joined by an ex-Union Sharpshooter, they are in a race against time as they track Jack Donner and his vicious gang of killers.",https://www.starz.com/us/en/movies/corsicana-69699
168,Paradise Highway,R,114 MINS,"ACTION, CRIME",2022,"Cameron Monaghan, Frank Grillo, Morgan Freeman","A truck driver is forced to smuggle illegal cargo to save her brother from a prison gang. The FBI is hot on her trail, and her conscience is tested when her final package turns out to be a teenage girl.",https://www.starz.com/us/en/movies/paradise-highway-67553
169,Aurora: A Love Story,TV-14,95 MINS,"DRAMA, SUSPENSE",2023,"Julito McCullum, Marc John Jefferies, Tobias Truvillion",Plans swiftly change and dark secrets are revealed when a bride goes missing the night before her Puerto Rican destination wedding.,https://www.starz.com/us/en/movies/aurora-a-love-story-69322
170,Queen Of Glory,TV-MA,78 MINS,"COMEDY, DRAMA",2021,"Nana Mensah, Meeko , Madeline Weinstein","Sarah is all set to abandon her Ivy League doctoral program to follow her married lover across the country--but an unexpected event puts her life on a brand new trajectory. A critically-acclaimed, heartfelt story.",https://www.starz.com/us/en/movies/queen-of-glory-68027
171,The Meddler,PG-13,103 MINS,"ROMANCE, COMEDY",2015,"Rose Byrne, Lucy Punch, J.K. Simmons",A widow from New York City follows her daughter to L.A. hoping to start a new life after her husband passes away. A chance encounter with a security guard sends her on a new path.,https://www.starz.com/us/en/movies/the-meddler-29594
172,You Won't Be Alone,R,109 MINS,"HORROR, DRAMA",2022,"Noomi Rapace, Anamaria Marinca, Alice Englert","Curious about life as a human, a young witch in 19th-century Macedonia accidentally kills a peasant in a nearby village -- then takes the victim's shape to live in her skin.",https://www.starz.com/us/en/movies/you-wont-be-alone-66353
173,The Jane Austen Book Club,PG-13,105 MINS,"COMEDY, DRAMA",2007,"Maria Bello, Hugh Dancy, Emily Blunt","Six Californians start a Jane Austen book club devoted to the English author's intricate, romantic novels - and soon find their lives mirroring the 19th century stories they are reading!",https://www.starz.com/us/en/movies/the-jane-austen-book-club-33373
174,The Girl With All The Gifts,R,111 MINS,"HORROR, DRAMA",2016,"Gemma Arterton, Glenn Close, Paddy Considine","In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a teacher find a girl who seems to be immune, they all begin a journey to save humanity.",https://www.starz.com/us/en/movies/the-girl-with-all-the-gifts-70786
175,Pretty Red Dress,TV-MA,110 MINS,DRAMA,2023,"Natey Jones, Alexandra Burke, Temilola Olatunbosun","Family dynamics are forever changed when Travis, just home from prison, is caught trying on his girlfriend's fiery red dress.",https://www.starz.com/us/en/movies/pretty-red-dress-70928
176,"""50/50""",R,100 MINS,"COMEDY, DRAMA",2011,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick",A young man struggles to come to terms with his cancer diagnosis as he is forced to question everything he thought was important in life.,https://www.starz.com/us/en/movies/50-50-50806
177,Naked Singularity,R,93 MINS,"CRIME, DRAMA",2021,"John Boyega, Olivia Cooke, Bill Skarsgård",An idealistic NYC public defender burned out by the system takes matters into his own hands when he joins an old client on a high-stakes drug heist.,https://www.starz.com/us/en/movies/naked-singularity-64730
178,The Outfit,R,105 MINS,"CRIME, DRAMA",2022,"Mark Rylance, Dylan O'Brien, Zoey Deutch",An expert tailor must outwit a dangerous group of Chicago mobsters to survive a fateful night.,https://www.starz.com/us/en/movies/the-outfit-66355
179,"Alice, Darling",R,89 MINS,DRAMA,2022,"Anna Kendrick, Kaniehtiio Horn, Charlie Carrick","Pushed to the breaking point, a woman enjoys some much-needed time away from her psychologically abusive boyfriend. However, when his vengeance is unleashed, it tests the bonds of deep-rooted friendships.",https://www.starz.com/us/en/movies/alice-darling-69015
180,Leave No Trace,PG,108 MINS,DRAMA,2018,"Ben Foster, Thomasin McKenzie, Jeff Kober",A man and his 13-year-old daughter are living in a park when a small mistake tips them off to authorities and changes their lives forever.,https://www.starz.com/us/en/movies/leave-no-trace-57473
181,Disobedience,R,114 MINS,"DRAMA, ROMANCE",2018,"Rachel McAdams, Rachel Weisz, Alessandro Nivola",A woman returns to her Orthodox Jewish home after the death of her rabbi father and stirs up controversy when she shows an interest in an old childhood friend.,https://www.starz.com/us/en/movies/disobedience-57477
182,The Happy Prince,R,104 MINS,"BIOGRAPHY, DRAMA",2018,"Rupert Everett, Emily Watson, Colin Firth","The untold story of the last days in the tragic times of Oscar Wilde, a person who observes his own failure with ironic distance and regards the difficulties that beset his life with detachment and humor.",https://www.starz.com/us/en/movies/the-happy-prince-44561
183,All Creatures Here Below,TV-MA,91 MINS,"DRAMA, CRIME",2019,"David Dastmalchian, Karen Gillan, Jennifer Morrison","Desperate for money, Gensan and Ruby impulsively commit a crime which sets in motion a series of dire events. Now on the run, the couple seek refuge in Kansas City, a place filled with dark secrets that still haunt them.",https://www.starz.com/us/en/movies/all-creatures-here-below-68326
184,Alpha Dog,R,117 MINS,"DRAMA, CRIME",2007,"Justin Timberlake, Bruce Willis, Emile Hirsch","Teenage dealer Johnny Truelove and his friends kidnap the impressionable younger brother of a junkie who refuses to pay his drug debt. Things change unexpectedly when Frankie, one of Johnny's pals, befriends the youth.",https://www.starz.com/us/en/movies/alpha-dog-34767
185,Waitress,PG-13,107 MINS,"COMEDY, ROMANCE",2007,"Keri Russell, Nathan Fillion, Cheryl Hines","Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",https://www.starz.com/us/en/movies/waitress-51208
186,Megan Leavey,PG-13,116 MINS,"WAR, BIOGRAPHY",2017,"Kate Mara, Bradley Whitford, Tom Felton",Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.,https://www.starz.com/us/en/movies/megan-leavey-62140
187,The Road,R,111 MINS,"DRAMA, SUSPENSE",2009,"Charlize Theron, Viggo Mortensen, Kodi Smit-McPhee",A father and his son try to keep the dream of civilization alive as they wander through a post-apocalyptic landscape.,https://www.starz.com/us/en/movies/the-road-50208
188,"Paul, Apostle of Christ",PG-13,107 MINS,"DRAMA, HISTORICAL",2018,"Jim Caviezel, James Faulkner, Olivier Martinez",The story of how Paul went from the most infamous persecutor of Christians to Jesus Christ's most influential apostle.,https://www.starz.com/us/en/movies/paul-apostle-of-christ-40818
189,Signs Of Love,TV-MA,98 MINS,DRAMA,2022,"Rosanna Arquette, Dylan Penn, Hopper Penn","A young man struggling for a good life meets a deaf girl from a well-off nearby family. He suddenly sees hope for love, and a better life but only if he can escape the streets and the influence of his older sister.",https://www.starz.com/us/en/movies/signs-of-love-67339
190,The Broken Hearts Gallery,PG-13,109 MINS,"COMEDY, ROMANCE",2020,"Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar","Dumped by her boyfriend, a New York art gallery assistant creates an exhibit for souvenirs from past relationships.",https://www.starz.com/us/en/movies/the-broken-hearts-gallery-61143
191,Moonwalkers,R,96 MINS,"ACTION, COMEDY",2015,"Ron Perlman, Rupert Grint, Robert Sheehan","In 1969 London, a CIA agent and the manager of a rock band must find a way to fake the moon landing.",https://www.starz.com/us/en/movies/moonwalkers-68418
