,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
22,The Fan,R,116 MINS,"DRAMA, SUSPENSE",1996,"Robert De Niro, Wesley Snipes, Ellen Barkin","As a middle-aged salesman's life unravels, his obsession with a star baseball player turns from fan to fanatical - and ultimately murderous!",https://www.starz.com/us/en/movies/the-fan-10064
23,Stealth,PG-13,120 MINS,"ACTION, ADVENTURE",2005,"Josh Lucas, Jessica Biel, Jamie Foxx",A robot fighter pilot learns combat skills from Navy fliers - but the android quits taking orders and threatens to ignite a global catastrophe!,https://www.starz.com/us/en/movies/stealth-19083
24,Ali,R,156 MINS,"BIOGRAPHY, DRAMA",2001,"Will Smith, Jamie Foxx, Jon Voight","A pivotal decade in the life of heavyweight boxing legend Muhammad Ali - his rise to the top of the sport, his refusal to go to Vietnam, and his comeback fights with Foreman and Frazier.",https://www.starz.com/us/en/movies/ali-37309
25,Aloha,PG-13,104 MINS,"COMEDY, ROMANCE",2015,"Emma Stone, Rachel McAdams, Ivana Milicevic",A military contractor unexpectedly falls for an Air Force officer while reconnecting with an ex.,https://www.starz.com/us/en/movies/aloha-23582
26,Armored,PG-13,88 MINS,"ACTION, CRIME",2009,"Matt Dillon, Jean Reno, Laurence Fishburne",A rookie armored-truck guard is persuaded by his co-workers to join in on a foolproof $42 million heist that promises no violence - but things go wrong in this taut action drama.,https://www.starz.com/us/en/movies/armored-36096
27,A Beautiful Day in the Neighborhood,PG,108 MINS,"DRAMA, BIOGRAPHY",2019,"Tom Hanks, Matthew Rhys, Chris Cooper",Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,https://www.starz.com/us/en/movies/a-beautiful-day-in-the-neighborhood-52158
28,Meeting Evil,R,89 MINS,"CRIME, DRAMA",2012,"Samuel L. Jackson, Leslie Bibb, Luke Wilson","John is taken on a murder-fueled ride by a mysterious stranger who transforms the weak-willed, disillusioned husband and father into a hero willing to do anything to protect his family.",https://www.starz.com/us/en/movies/meeting-evil-52015
29,Catch .44,R,93 MINS,"ACTION, DRAMA",2011,"Forest Whitaker, Bruce Willis, Malin Akerman",A trio of bad girls look to get right with their crime boss by hijacking a shipment of drugs at a secluded diner - but a seriously crazed hitman will make sure nothing goes as planned!,https://www.starz.com/us/en/movies/catch-44-29602
30,Survive,TV-MA,108 MINS,"ACTION, ADVENTURE",2023,"Sophie Turner, Corey Hawkins, Caroline Goodall","When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.",https://www.starz.com/us/en/movies/survive-69829
31,Farming,R,107 MINS,DRAMA,2018,"Kate Beckinsale, Gugu Mbatha-Raw, Damson Idris","A Nigerian boy, ""farmed out"" by his parents to a white British family, becomes the leader of a skinhead gang.",https://www.starz.com/us/en/movies/farming-66519
32,Arctic,PG-13,98 MINS,"ADVENTURE, DRAMA",2018,"Mads Mikkelsen, Maria Smáradóttir",A man stranded in the Arctic after an airplane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown in hopes of making it out alive.,https://www.starz.com/us/en/movies/arctic-57479
33,Motives 2: Retribution,R,93 MINS,"DRAMA, SUSPENSE",2007,"Brian J. White, Vivica A. Fox, Drew Sidora",A man takes matters into his own hands after his wrongfully-convicted brother is murdered in prison.,https://www.starz.com/us/en/movies/motives-2-retribution-50116
34,The Craft: Legacy,PG-13,94 MINS,"DRAMA, FANTASY",2020,"Michelle Monaghan, Cailee Spaeny, Gideon Adlon","An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers. A sequel to the 1996 film, 'The Craft'.",https://www.starz.com/us/en/movies/the-craft-legacy-62315
35,Night Comes On,TV-MA,86 MINS,DRAMA,2018,"Dominique Fishback, Tatum Marilyn Hall, James McDaniel","Angel LaMere is released from juvenile detention on the eve of her 18th birthday. Haunted by her past, she embarks on a journey with her 10 year-old sister that could destroy their future.",https://www.starz.com/us/en/movies/night-comes-on-65171
36,Head Count,TV-MA,81 MINS,"ACTION, SUSPENSE",2023,"Aaron Jakubenko, Melanie Zanetti, Ryan Kwanten","After escaping prison, Kat's own revolver is pointed to his head by an unknown assailant. As the empty rounds click away, he tries to remember what happened to each bullet.",https://www.starz.com/us/en/movies/head-count-71634
37,White Boy Rick,R,111 MINS,"CRIME, DRAMA",2018,"Matthew McConaughey, Richie Merritt, Bel Powley","The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",https://www.starz.com/us/en/movies/white-boy-rick-39635
38,Life,R,108 MINS,"COMEDY, CRIME",1999,"Eddie Murphy, Martin Lawrence, Obba Babatunde","In Depression-era Mississippi, two black men are framed for murder and sentenced to life in prison - and they spend the next 60 years bickering, arguing, and planning their big escape.",https://www.starz.com/us/en/movies/life-38138
39,Waist Deep,R,96 MINS,"ACTION, SUSPENSE",2006,"Tyrese Gibson, Meagan Good, Larenz Tate",An ex-convict collides with members of a street gang after his car is stolen with his son inside.,https://www.starz.com/us/en/movies/waist-deep-44685
40,Casino,R,178 MINS,"CRIME, DRAMA",1995,"Robert De Niro, Sharon Stone, Joe Pesci","An intense, violent tale of how organized crime controlled Las Vegas gambling in the 1970s is told via a mob casino boss, his beautiful but unstable wife, and his hot-headed pal.",https://www.starz.com/us/en/movies/casino-43838
41,Drumline,PG-13,118 MINS,"COMEDY, DRAMA",2002,"Orlando Jones, Zoe Saldana, Nick Cannon","A talented street drummer enters college and the esteemed marching band, but his lack of musical schooling and showoff style don't mesh with the group - can he find the discipline to succeed?",https://www.starz.com/us/en/movies/drumline-38845
42,Proud Mary,R,89 MINS,"ACTION, CRIME",2018,"Taraji P. Henson, Neal McDonough, Xander Berkeley",Mary is a professional assassin who works for a ruthless gangster in Boston. Her desire to save a 12-year-old boy from the streets soon causes an all-out turf war that forces her to take down whoever stands in her way.,https://www.starz.com/us/en/movies/proud-mary-39055
43,The Perfect Guy,PG-13,100 MINS,"DRAMA, ROMANCE",2015,"Michael Ealy, Sanaa Lathan, Morris Chestnut",A woman must use every ounce of strength to turn the tables and outwit a sinister ex-lover.,https://www.starz.com/us/en/movies/the-perfect-guy-25803
44,Bloodshot,PG-13,109 MINS,"ACTION, SCI-FI",2020,"Vin Diesel, Eiza González, Sam Heughan",An unstoppable reanimated soldier embarks on a mission to recover his true memories.,https://www.starz.com/us/en/movies/bloodshot-52193
45,Story Ave,TV-MA,106 MINS,DRAMA,2023,"Asante Blackk, Luis Guzmán, Melvin Gregg",Follows a teenage graffiti artist who ran away from home and holds up an unwary MTA worker in a robbery gone right that would change their lives forever.,https://www.starz.com/us/en/movies/story-ave-71636
46,The Million Dollar Hotel,R,122 MINS,"DRAMA, ART HOUSE",2000,"Jeremy Davies, Mel Gibson, Milla Jovovich","When a media mogul's son purportedly commits suicide by jumping off a roof, an FBI man is sent in to investigate the eccentric residents of the seedy hotel where he lived.",https://www.starz.com/us/en/movies/the-million-dollar-hotel-48827
47,The Northman,R,136 MINS,"ACTION, ADVENTURE",2022,"Alexander Skarsgård, Anya Taylor-Joy, Nicole Kidman","Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",https://www.starz.com/us/en/movies/the-northman-66004
