,Series,Season,Episodes,Synopsis,Link
36,Wrong Man,Season 2,6 Episodes,"'Wrong Man"" is a six-episode series from acclaimed award-winning filmmaker Joe Berlinger (Paradise Lost Trilogy) that examines cases of inmates who ha",https://www.starz.com/us/en/series/wrong-man/season-2/57337
37,Black Sails,Season 1,8 Episodes,"""Black Sails,"" centers on the tales of Captain Flint and his notorious crew fighting for the survival of New Providence Island.",https://www.starz.com/us/en/series/black-sails/season-1/19965
38,Black Sails,Season 2,10 Episodes,"With the Walrus crew stranded and the precious Urca gold in Spanish hands, Flint and Silver join forces. Meanwhile, Eleanor's grip on Nassau is slippi",https://www.starz.com/us/en/series/black-sails/season-2/22900
39,Black Sails,Season 3,10 Episodes,"In the wake of the burning of Charles Town, all the New World lives in fear of Captain Flint. But when his campaign of terror crosses over into madnes",https://www.starz.com/us/en/series/black-sails/season-3/25178
40,Black Sails,Season 4,10 Episodes,"Hundreds of British soldiers lie dead in a forest… the Royal Navy sails back to England… the West Indies are now a war zone, and the shores of New Pro",https://www.starz.com/us/en/series/black-sails/season-4/30006
41,The Missing,Season 1,8 Episodes,,https://www.starz.com/us/en/series/the-missing/season-1/22388
42,The Missing,Season 2,8 Episodes,A young woman walks into the town she was abducted from 11 years previously – does she hold the key to the whereabouts of another missing girl?,https://www.starz.com/us/en/series/the-missing/season-2/30243
43,Survivor's Remorse,Season 1,6 Episodes,"""Survivor's Remorse"" follows Cam Calloway, a young basketball phenom who is suddenly thrust into the limelight after signing a multi-million dollar co",https://www.starz.com/us/en/series/survivors-remorse/season-1/22361
44,Survivor's Remorse,Season 2,10 Episodes,"""Survivor's Remorse"" follows a basketball star balancing family with the rewards and responsibilities of fame.",https://www.starz.com/us/en/series/survivors-remorse/season-2/24055
45,Survivor's Remorse,Season 3,10 Episodes,"The Calloways cope with the fallout of Uncle Julius' accident. Family bonds are put to the test as season three explores themes of religion, parenting",https://www.starz.com/us/en/series/survivors-remorse/season-3/26468
46,Survivor's Remorse,Season 4,10 Episodes,"Cam Calloway thought he'd finally reached the top when he got signed. But the higher you reach, the farther you can fall. The past that he has been av",https://www.starz.com/us/en/series/survivors-remorse/season-4/32911
47,Da Vinci's Demons,Season 1,8 Episodes,,https://www.starz.com/us/en/series/da-vincis-demons/season-1/17241
48,Da Vinci's Demons,Season 2,10 Episodes,,https://www.starz.com/us/en/series/da-vincis-demons/season-2/21300
49,Da Vinci's Demons,Season 3,10 Episodes,"Leonardo da Vinci's world comes crashing down when the city of Otranto is torn apart by an Ottoman invasion. On the battlefield, the Turks use da Vinc",https://www.starz.com/us/en/series/da-vincis-demons/season-3/23344
50,Magic City,Season 1,8 Episodes,"New Year's Eve 1959: Castro seizes Cuba as the Kennedys, the mob and the CIA all hold court at Miami's opulent Miramar Playa Hotel. Owner Ike Evans us",https://www.starz.com/us/en/series/magic-city/season-1/12618
51,Magic City,Season 2,8 Episodes,"Ike risks everything to rid his Miramar Playa Hotel of the mob. His dangerous plan to defeat Ben ""The Butcher"" Diamond takes Ike from Havana's glamoro",https://www.starz.com/us/en/series/magic-city/season-2/17889
52,Minx,Season 1,10 Episodes,,https://www.starz.com/us/en/series/minx/season-1/69119
53,Minx,Season 2,8 Episodes,"After Doug and Joyce sell Bottom Dollar, Minx becomes a commercial success. Doug struggles to maintain his control within Bottom Dollar while Joyce ri",https://www.starz.com/us/en/series/minx/season-2/69177
54,Party Down,Season 1,10 Episodes,A group of struggling actors and dysfunctional dreamers wait for their big break while they are stuck serving hors d'oeurves for a Hollywood catering,https://www.starz.com/us/en/series/party-down/season-1/4153
55,Party Down,Season 2,10 Episodes,"Failed actor Henry Pollard returns to work at Party Down catering, reuniting with a team of aspiring stars who seek fortune and fame in Hollywood's en",https://www.starz.com/us/en/series/party-down/season-2/6954
56,Party Down,Season 3,6 Episodes,"Ten years after Henry Pollard gave up his day job working for Party Down Catering, a stroke of bad luck lands him back with his old team of Hollywood",https://www.starz.com/us/en/series/party-down/season-3/68559
57,Ash vs Evil Dead,Season 1,10 Episodes,"""Ash vs Evil Dead,"" a 10-episode half-hour series, is the long-awaited follow-up to the classic horror film, The Evil Dead. The second season roars ba",https://www.starz.com/us/en/series/ash-vs-evil-dead/season-1/24816
58,Ash vs Evil Dead,Season 2,10 Episodes,"Season 2 roars back into action with Ash leaving Jacksonville and returning to his hometown of Elk Grove, Michigan. There, he confronts Ruby. The form",https://www.starz.com/us/en/series/ash-vs-evil-dead/season-2/27371
59,Ash vs Evil Dead,Season 3,10 Episodes,"Ash, having gone from urban legend to hometown hero, discovers that he has a daughter. When Kelly witnesses a massacre with Ruby's fingerprints all ov",https://www.starz.com/us/en/series/ash-vs-evil-dead/season-3/36265
60,Sweetbitter,Season 1,6 Episodes,"Tess begins working at NYC’s top restaurant, thinking it will be a temporary job, but is intoxicated by the restaurant’s workers, nightlife, and fast",https://www.starz.com/us/en/series/sweetbitter/season-1/37700
61,Sweetbitter,Season 2,8 Episodes,"Tess's appetite for knowledge and experience is awakened, and she discovers her voice. As she falls more in love with the restaurant, however, she rea",https://www.starz.com/us/en/series/sweetbitter/season-2/44726
62,ICE,Season 1,10 Episodes,,https://www.starz.com/us/en/series/ice/season-1/62613
63,ICE,Season 2,10 Episodes,A diamond dealer navigates the culturally diverse and otherwise treacherous world of the diamond business.,https://www.starz.com/us/en/series/ice/season-2/62750
64,Tales of Wells Fargo,Season 1,14 Episodes,,https://www.starz.com/us/en/series/tales-of-wells-fargo/season-1/29907
65,Tales of Wells Fargo,Season 2,36 Episodes,,https://www.starz.com/us/en/series/tales-of-wells-fargo/season-2/29932
66,Tales of Wells Fargo,Season 3,38 Episodes,,https://www.starz.com/us/en/series/tales-of-wells-fargo/season-3/30098
67,Tales of Wells Fargo,Season 4,37 Episodes,,https://www.starz.com/us/en/series/tales-of-wells-fargo/season-4/30458
68,Tales of Wells Fargo,Season 5,40 Episodes,,https://www.starz.com/us/en/series/tales-of-wells-fargo/season-5/30696
